time_step Pventricular Vventricular Paorta Qaorta Patrial Vatrial Qatrial
0 0.01 100 0 0.001 20000 100 0
1 23917.3837 99.6885507 -41.3119416 24.0344573 20204.9204 101.024602 -38.2544094
2 29297.2614 99.3429414 46550.3534 6.83297722 20409.8408 102.049204 0
3 37416.301 99.2630489 35109.1337 9.14552777 20576.5068 102.882534 0
4 47868.6055 99.1592383 45411.7369 11.6165908 20743.1728 103.715864 0
5 59903.4326 99.0344836 58210.041 13.3343517 20909.8388 104.549194 0
6 72536.3966 98.8975995 71861.8625 14.0424732 21076.5048 105.382524 0
7 84788.1546 98.7587213 85136.9295 13.733162 21243.1708 106.215854 0
8 95909.3691 98.6269005 97052.3854 12.6310062 21409.8368 107.049184 0
9 106019.151 98.5056886 107080.163 11.6113685 21576.5028 107.882514 0
10 114074.891 98.3999852 116190.814 9.52931886 21743.1688 108.715844 0
11 121015.511 98.3106028 122228.076 8.34716205 21909.8348 109.549174 0
12 127331.911 98.2304365 128021.913 7.68609334 22076.5008 110.382504 0
13 133487.657 98.1545425 133711.239 7.49271295 22243.1668 111.215834 0
14 139790.278 98.0789877 139698.331 7.61824259 22409.8328 112.049164 0
15 146346.753 98.0015739 146138.36 7.8645081 22576.4988 112.882494 0
16 153101.465 97.9219221 152942.002 8.06586239 22743.1648 113.715824 0
17 160309.826 97.8389381 159893.048 8.53092167 22909.8308 114.549154 0
18 167092.59 97.7556893 167551.896 8.11884068 23076.4968 115.382484 0
19 173821.423 97.6747648 173923.402 8.06606185 23243.1628 116.215814 0
20 180557.504 97.5940558 180599.589 8.07574324 23409.8288 117.049144 0
21 187396.891 97.512758 187344.137 8.18381223 23576.4948 117.882474 0
22 194398.684 97.4300626 194286.81 8.35527533 23743.1608 118.715804 0
23 201535.381 97.3457724 201451.644 8.502755 23909.8268 119.549134 0
24 208688.215 97.2606003 208726.009 8.53167427 24076.4928 120.382464 0
25 216077.896 97.174033 215900.069 8.78177937 24243.1588 121.215794 0
26 222754.93 97.0897455 223527.721 8.0757243 24409.8248 122.049124 0
27 229057.688 97.0109274 229510.108 7.68789322 24576.4908 122.882454 0
28 234986.319 96.9360015 235439.082 7.29729375 24743.1568 123.715784 0
29 240561.123 96.8648956 240994.204 6.9238787 24909.8228 124.549114 0
30 245710.414 96.7978949 246213.951 6.47625959 25076.4888 125.382444 0
31 250158 96.7367878 250937.23 5.74515755 25243.1548 126.215774 0
32 253358.422 96.6858099 254685.638 4.45043375 25409.8208 127.049104 0
33 254514.027 96.6519346 256645.4 2.32462687 25576.4868 127.882434 0
34 252540.831 96.6449915 255765.721 -0.936020453 25743.1528 128.715764 0
35 246699.985 96.6496716 177319.921 0 25909.8188 129.549094 0
36 236577.029 96.7004651 246609.479 -10.1586867 26076.4848 130.382424 0
37 222067.535 96.7512585 215071.31 0 26243.1508 131.215754 0
38 203860.144 96.842688 221951.235 -18.2858983 26409.8168 132.049084 0
39 182967.268 96.9341175 195146.952 0 26576.4828 132.882414 0
40 160662.557 96.9341175 190151.054 0 26743.1488 133.715744 0
41 138605.297 96.9341175 171482.027 0 26909.8148 134.549074 0
42 116947.008 96.9341175 152944.406 0 27076.4808 135.382404 0
43 98815.9208 96.9341175 133388.198 0 27243.1468 136.215734 0
44 83326.3848 96.9341175 114297.15 0 27409.8128 137.049064 0
45 70374.6213 96.9341175 96381.6372 0 27576.4788 137.882394 0
46 59599.9925 96.9341175 80086.294 0 27743.1448 138.715724 0
47 50567.3555 96.9341175 65592.914 0 27909.8108 139.549054 0
48 42915.0243 96.9341175 52881.9227 0 28076.4768 140.382384 0
49 36428.3501 96.9341175 41822.08 0 28243.1428 141.215714 0
50 30761.9151 96.9341175 32254.9212 0 28409.8088 142.049044 0
51 26509.5018 96.9341175 23960.9602 0 28576.4748 142.882374 0
52 23387.4993 97.2208848 26424.0353 -3.10719229 28688.8946 143.444473 54.2462643
53 21348.51 98.1393392 1684.67598 0 28674.9769 143.374884 126.337436
54 20199.5978 99.8027907 21489.6647 -1.62885508 28510.5814 142.552907 204.724003
55 19689.6276 102.239654 -8984.69925 0 28191.5035 140.957518 281.01987
56 19564.8461 105.399667 20027.2186 -1.05163446 27727.2186 138.636093 349.931057
57 19629.4118 109.197668 -16592.903 0 27135.336 135.67668 408.617538
58 19747.0349 113.526251 20104.54 -1.11340906 26437.3989 132.186994 455.985631
59 19981.6065 118.264711 -20265.635 0 25657.4862 128.287431 490.592983
60 20351.5395 123.278434 20516.6387 -0.99592303 24822.4037 124.112019 511.155552
61 20904.9271 128.42052 -21778.8175 0 23961.6484 119.808242 516.265789
62 21629.3416 133.530161 21429.8722 -0.631430211 23107.0175 115.535088 505.031035
63 22432.1625 138.44886 21194.3017 -0.196436799 22290.7717 111.453858 477.880829
64 23166.4844 143.024236 22209.7384 0.0111557668 21542.5477 107.712738 437.009193
65 23698.6224 147.139649 23008.3038 0.0297234792 20886.0902 104.430451 386.114271
66 23955.9868 150.718312 23450.8553 -0.0430273102 20337.0369 101.685185 329.604977
67 24039.6303 153.720237 23541.8662 -0.023662175 19903.3846 99.5169229 270.713386
68 24090.9539 156.128742 23557.0609 0.129751631 19588.2436 97.9412178 211.093625
69 24272.2044 157.934737 23675.1568 0.440363709 19393.1405 96.9657023 150.675474
70 24664.3238 159.124695 24075.6196 0.835511426 19320.539 96.6026951 88.5919827
71 25209.5891 159.680778 24761.9581 1.18585925 19373.9671 96.8698353 24.6459733
72 25718.5768 159.594301 25548.2501 1.3602378 19555.3823 97.7769115 -39.3952082
73 26024.7375 159.384499 26204.1877 1.20492213 19761.4435 98.8072175 0
74 25971.1973 159.374566 26386.0334 0.781698528 19928.1095 99.6405475 0
75 25398.4718 159.369388 25917.4373 0.254009311 20094.7755 100.473877 0
76 24455.5202 159.368785 24834.2054 -0.133501643 20261.4415 101.307207 0
77 23356.7082 159.369452 -37232.5697 0 20428.1075 102.140537 0
78 22393.3291 159.373542 23209.0422 -0.817852811 20594.7735 102.973867 0
79 21810.8344 159.377631 -9272.34414 0 20761.4395 103.807197 0
80 21723.8505 159.37658 21510.7 0.21011852 20928.1055 104.640527 0
81 22084.2464 159.370854 21353.7092 0.93516008 21094.7715 105.473857 0
82 22711.4732 159.359361 22276.3121 1.36341585 21261.4375 106.307187 0
83 23407.4373 159.345019 23258.2512 1.5050364 21428.1035 107.140517 0
84 23902.3872 159.330839 24068.4719 1.33097653 21594.7695 107.973847 0
85 24161.7353 159.318682 24384.2117 1.10029806 21761.4355 108.807177 0
86 24237.2923 159.308621 24417.3774 0.911914339 21928.1015 109.640507 0
87 24262.4911 159.299793 24312.3139 0.853829916 22094.7675 110.473837 0
88 24376.5837 159.290842 24286.0701 0.936215512 22261.4335 111.307167 0
89 24651.9491 159.280686 24485.2073 1.0949823 22428.0995 112.140497 0
90 25057.6521 159.269075 24917.4119 1.22733619 22594.7655 112.973827 0
91 25495.6316 159.256617 25450.8145 1.26425377 22761.4315 113.807157 0
92 25765.3457 159.244795 25921.3363 1.10018841 22928.0975 114.640487 0
93 25792.2046 159.235009 26027.0716 0.857049434 23094.7635 115.473817 0
94 25576.4202 159.227679 25816.2049 0.608848967 23261.4295 116.307147 0
95 25221.705 159.222332 25361.5757 0.460545037 23428.0955 117.140477 0
96 24890.5756 159.217658 24868.5544 0.474252827 23594.7615 117.973807 0
